road,place,latitude,longitude,clusterid
Copenhagen Street,Worcester,52.190725,-2.22288,1331
High Street Car Park,Pershore ,52.111873,-2.074063,1332
Woodside Avenue,Brighton & Hove,50.844608,-0.156352,1333
Hampsted Road,Brighton & Hove,50.844137,-0.155719,1334
Scarborough Road,Brighton & Hove,50.842385,-0.155439,1335
Robertson Road,Brighton & Hove,50.842483,-0.154587,1336
Compton Road,Brighton & Hove,50.841175,-0.155551,1337
Inwood Crescent,Brighton & Hove,50.840194,-0.154275,1338
Reigate Road,Brighton & Hove,50.840569,-0.155955,1339
The Drive,Brighton & Hove,50.83645,-0.166222,1340
Conway Street,Brighton & Hove,50.835143,-0.173966,1341
Clarendon Road,Brighton & Hove,50.83438,-0.176725,1342
Clarendon Road,Brighton & Hove,50.834013,-0.173854,1343
Livingston Road,Brighton & Hove,50.833539,-0.174271,1344
Livingston Road,Brighton & Hove,50.833923,-0.176677,1345
Livingston Road,Brighton & Hove,50.833274,-0.171846,1346
Goldstone Villas,Brighton & Hove,50.833352,-0.171443,1347
Shirley Street,Brighton & Hove,50.832809,-0.172289,1348
Goldstone Road,Brighton & Hove,50.832535,-0.174382,1349
Goldstone Road,Brighton & Hove,50.832868,-0.176879,1350
Goldstone Street,Brighton & Hove,50.832071,-0.174307,1351
Denmark Villas,Brighton & Hove,50.831523,-0.170833,1352
Eaton Gardens,Brighton & Hove,50.831015,-0.16939,1353
Eaton Gardens,Brighton & Hove,50.831453,-0.16924,1354
Eaton Gardens,Brighton & Hove,50.832161,-0.169126,1355
Eaton Gardens,Brighton & Hove,50.833256,-0.168645,1356
The Drive,Brighton & Hove,50.832383,-0.167298,1357
The Drive,Brighton & Hove,50.829706,-0.167924,1358
Eaton Road,Brighton & Hove,50.83037,-0.168764,1359
Tisbury Road,Brighton & Hove,50.830274,-0.169174,1360
Norton Road,Brighton & Hove,50.830371,-0.170292,1361
Hova Villas,Brighton & Hove,50.830594,-0.171208,1362
Ventnor Villas,Brighton & Hove,50.830716,-0.171978,1363
Blatchington Road,Brighton & Hove,50.831157,-0.173547,1364
Blatchington Road,Brighton & Hove,50.831242,-0.174306,1365
Belfast Street,Brighton & Hove,50.831007,-0.174998,1366
Blatchington Road,Brighton & Hove,50.831498,-0.175435,1367
Connaught Terrace,Brighton & Hove,50.831312,-0.175682,1368
Brooker Street,Brighton & Hove,50.830465,-0.176871,1369
Wilbury Avenue,Brighton & Hove,50.835296,-0.167948,1370
Connaught Road,Brighton & Hove,50.829854,-0.177224,1371
Connaught Road,Brighton & Hove,50.82883,-0.177441,1372
Church Road,Brighton & Hove,50.828262,-0.174732,1373
Osborne Villas,Brighton & Hove,50.827932,-0.173875,1374
Church Road,Brighton & Hove,50.827998,-0.173453,1375
Ventnor Villas,Brighton & Hove,50.828391,-0.173167,1376
Ventnor Villas,Brighton & Hove,50.829425,-0.172583,1377
Hova Villas,Brighton & Hove,50.828097,-0.172359,1378
Norton Road,Brighton & Hove,50.828854,-0.170697,1379
Tisbury Road,Brighton & Hove,50.828446,-0.169769,1380
Third Avenue,Brighton & Hove,50.824891,-0.170794,1381
Fourth Avenue,Brighton & Hove,50.826413,-0.171686,1382
Albany Villas,Brighton & Hove,50.827264,-0.172607,1383
Albany Villas,Brighton & Hove,50.825043,-0.173132,1384
Medina Villas,Brighton & Hove,50.825216,-0.174357,1385
Medina Villas,Brighton & Hove,50.825773,-0.174238,1386
Osborne Villas,Brighton & Hove,50.825407,-0.175914,1387
Kingsway,Brighton & Hove,50.825332,-0.17624,1388
Sussex Road,Brighton & Hove,50.825077,-0.176305,1389
King's Esplanade,Brighton & Hove,50.824354,-0.176864,1390
Vallance Gardens,Brighton & Hove,50.825685,-0.179277,1391
Second Avenue,Brighton & Hove,50.824607,-0.167621,1392
First Avenue,Brighton & Hove,50.82434,-0.166307,1393
First Avenue,Brighton & Hove,50.825288,-0.166182,1394
First Avenue,Brighton & Hove,50.826899,-0.165647,1395
Second Avenue,Brighton & Hove,50.826518,-0.16681,1396
Salisbury Road,Brighton & Hove,50.827101,-0.164268,1397
Salisbury Road,Brighton & Hove,50.828108,-0.163801,1398
Selborne Road,Brighton & Hove,50.828126,-0.165079,1399
Wilbury Road,Brighton & Hove,50.827628,-0.166678,1400
Wilbury Road,Brighton & Hove,50.828652,-0.166196,1401
Wilbury Road,Brighton & Hove,50.829696,-0.166139,1402
Wilbury Road,Brighton & Hove,50.830179,-0.166013,1403
Wilbury Road,Brighton & Hove,50.830891,-0.165611,1404
Wilbury Road,Brighton & Hove,50.832638,-0.165111,1405
Adelaide Crescent,Brighton & Hove,50.824137,-0.164906,1406
Holland Road,Brighton & Hove,50.824641,-0.162479,1407
Lansdowne Place,Brighton & Hove,50.824786,-0.161074,1408
Lansdowne Place,Brighton & Hove,50.823744,-0.161435,1409
Brunswick Square,Brighton & Hove,50.824072,-0.159562,1410
Brunswick Square,Brighton & Hove,50.825048,-0.159011,1411
Brunswick Square,Brighton & Hove,50.824986,-0.158562,1412
Brunswick Square,Brighton & Hove,50.823869,-0.158764,1413
Brunswick Street East,Brighton & Hove,50.823725,-0.157937,1414
Waterloo Street,Brighton & Hove,50.82454,-0.156788,1415
York Road,Brighton & Hove,50.825402,-0.155556,1416
Brunswick Road,Brighton & Hove,50.825541,-0.15642,1417
Cambridge Road,Brighton & Hove,50.825717,-0.157366,1418
Brunswick Road,Brighton & Hove,50.826963,-0.155918,1419
Brunswick Place,Brighton & Hove,50.827445,-0.15802,1420
Farm Road,Brighton & Hove,50.826022,-0.159218,1421
Lansdowne Place,Brighton & Hove,50.827812,-0.159519,1422
Lansdowne Street,Brighton & Hove,50.827995,-0.160336,1423
Lansdowne Street,Brighton & Hove,50.826346,-0.161159,1424
Holland Road,Brighton & Hove,50.82598,-0.161973,1425
Palmeira Square,Brighton & Hove,50.826374,-0.163067,1426
Rochester Gardens,Brighton & Hove,50.826853,-0.162271,1427
Rochester Gardens,Brighton & Hove,50.828199,-0.161711,1428
Holland Road,Brighton & Hove,50.829189,-0.160909,1429
Holland Road,Brighton & Hove,50.830889,-0.160281,1430
Palmeira Avenue,Brighton & Hove,50.830037,-0.162077,1431
Burton Villas,Brighton & Hove,50.835069,-0.160107,1432
Lorna Road,Brighton & Hove,50.832945,-0.161579,1433
Cromwell Road,Brighton & Hove,50.832421,-0.162308,1434
Lyndhurst Road,Brighton & Hove,50.833322,-0.158769,1435
Lyndhurst Road,Brighton & Hove,50.833092,-0.156524,1436
Ferndale Road,Brighton & Hove,50.834081,-0.156973,1437
Glendale Road,Brighton & Hove,50.834268,-0.155982,1438
Glendale Road,Brighton & Hove,50.833656,-0.156221,1439
Avondale Road,Brighton & Hove,50.833832,-0.155333,1440
Montefiore Road,Brighton & Hove,50.833339,-0.154609,1441
Highdown Road,Brighton & Hove,50.832911,-0.154554,1442
Cissbury Road,Brighton & Hove,50.833491,-0.153469,1443
Chanctonbury Road,Brighton & Hove,50.833006,-0.152739,1444
Caburn Road,Brighton & Hove,50.833091,-0.150886,1445
